epoch 300
FID: 25.77939039315794epoch 310
FID: 25.41478880589341epoch 320
FID: 23.11116138829499epoch 330
FID: 24.652865693408103epoch 340
FID: 26.703829108605873epoch 350
FID: 24.22943319693016epoch 360
FID: 25.555674913563735epoch 370
FID: 26.977360500433264epoch 380
FID: 21.234223676913814epoch 390
FID: 26.94790647852011epoch 400
FID: 25.151479809202158epoch 410
FID: 21.18726500951044epoch 420
FID: 28.678908494908683epoch 430
FID: 22.1060879885691epoch 440
FID: 24.01770019020799epoch 450
FID: 21.7905043750975epoch 460
FID: 23.40628933599146epoch 470
FID: 22.369096466686585epoch 480
FID: 23.4141729977259epoch 490
FID: 23.83816044965326epoch 500
FID: 23.63029800954959epoch 510
FID: 25.630319902436753epoch 520
FID: 22.96581777688695epoch 530
FID: 24.650156854669717epoch 540
FID: 23.820856194442285epoch 550
FID: 25.328842655483783epoch 560
FID: 20.968786507137054epoch 570
FID: 22.635855649306734epoch 580
FID: 24.561027746140724epoch 590
FID: 23.163979048050578epoch 600
FID: 25.334044028518008epoch 610
FID: 23.615356192871616epoch 620
FID: 26.43533815726869epoch 630
FID: 24.422590638711398epoch 640
FID: 23.213467098015172epoch 650
FID: 21.89959571754642epoch 660
FID: 20.240922381541225epoch 670
FID: 20.094333901141027epoch 680
FID: 20.718963953351164epoch 690
FID: 28.65535646575472epoch 700
FID: 22.440787692581154epoch 710
FID: 25.157663066446673epoch 720
FID: 24.26714809053513epoch 730
FID: 22.407981474754507epoch 740
FID: 21.65404223923261epoch 750
FID: 23.16017175637367epoch 760
FID: 24.094205476052565epoch 770
FID: 24.223352965019643epoch 780
FID: 23.58789144799769epoch 790
FID: 28.225237280982753epoch 800
FID: 20.85756472896503epoch 810
FID: 25.11709509295798epoch 820
FID: 22.97885853058122epoch 830
epoch 830
epoch 840
epoch 830
FID: 30.868073054496364epoch 840
FID: 25.26021764438579epoch 850
FID: 19.725402318212957epoch 860
FID: 17.695255689035463epoch 870
FID: 25.169577008407543epoch 880
FID: 26.6410430019435epoch 890
FID: 26.851679165700574epoch 900
FID: 26.29190362442057epoch 910
FID: 23.417852679955303epoch 920
FID: 21.180645887510252epoch 930
FID: 23.752054397007242epoch 940
FID: 23.44006861004391epoch 950
FID: 26.68765510678105epoch 960
FID: 25.040061529356166epoch 970
FID: 22.05549958793324epoch 980
FID: 21.755049926538618epoch 990
FID: 20.6558449895426epoch 1000
FID: 31.09280973041197epoch 1010
FID: 19.877990995452677epoch 1020
FID: 27.451304035528693epoch 1030
FID: 22.720785051165706epoch 1040
FID: 26.05207174018105epoch 1050
FID: 27.79399086288484epoch 1060
FID: 25.650795880711485epoch 1070
FID: 21.28282398813164epoch 1080
FID: 20.692619673049393epoch 1090
FID: 24.410073284786108epoch 1100
FID: 20.95332070603149epoch 1110
FID: 22.65518908170486epoch 1120
FID: 18.188137723011863epoch 1130
FID: 22.53322228018203epoch 1140
FID: 20.804447473045173epoch 1150
FID: 29.393509699483474epoch 1160
FID: 23.21829382510731epoch 1170
FID: 27.30268121008271epoch 1180
FID: 20.258534259987727epoch 1190
FID: 22.189598910606435epoch 1200
FID: 20.871874779655172epoch 1210
FID: 28.349630377779476epoch 1220
FID: 20.837391230953074epoch 1230
FID: 21.337938585084316epoch 1240
FID: 25.534977855360438epoch 1250
FID: 25.46142117062169epoch 1260
FID: 23.798206454039615epoch 1270
FID: 19.216926036383427epoch 1280
FID: 19.426143831010677epoch 1290
FID: 25.009650395702096epoch 1300
FID: 20.252067688465416epoch 1310
FID: 23.455082893888147epoch 1320
FID: 29.335827044036904epoch 1330
FID: 30.365129538353187epoch 1340
FID: 24.421757011819977epoch 1350
FID: 22.49349942034118epoch 1360
FID: 25.004302560081072epoch 1370
FID: 24.411435329622464epoch 1380
FID: 22.449505637719284epoch 1390
FID: 23.50007617917595epoch 1400
FID: 23.9813805376221epoch 1410
FID: 26.256891258664638epoch 1420
FID: 30.415339643592063epoch 1430
FID: 26.414750908260004epoch 1440
FID: 22.205483510875837epoch 1450
FID: 25.74659748167474epoch 1460
FID: 25.340204140664355epoch 1470
FID: 24.73338775607425epoch 1480
FID: 24.629446443365794epoch 1490
FID: 23.37961298027483epoch 1500
FID: 25.436381138266768epoch 1510
FID: 20.46886468316802epoch 1520
FID: 24.422471720365763epoch 1530
FID: 24.76719328726682epoch 1540
FID: 24.053770226364776epoch 1550
FID: 29.346286991082223epoch 1560
FID: 22.16221400731979epoch 1570
FID: 20.820357479755273epoch 1580
FID: 22.313684654687165epoch 1590
FID: 21.457821036977236epoch 1600
FID: 28.232966336838018epoch 1610
FID: 21.209426939351545epoch 1620
FID: 32.35755129042866epoch 1630
FID: 24.058873540068618epoch 1640
FID: 23.61777463710561epoch 1650
FID: 29.001398756065697epoch 1660
FID: 22.24320586606939epoch 1670
FID: 23.16507168995767epoch 1680
FID: 25.756094850478007epoch 1690
FID: 23.598095163966633epoch 1700
FID: 24.00526527893743epoch 1710
epoch 1720
epoch 1730
epoch 1740
epoch 1750
epoch 1760
epoch 1770
epoch 1780
epoch 1790
epoch 1800
epoch 1710
epoch 1720
epoch 1730
epoch 1740
epoch 1710
epoch 1710
FID: 26.19794672379504epoch 1720
FID: 24.297887432159342epoch 1730
FID: 22.04561760022426epoch 1740
epoch 260
epoch 260
FID: 25.262773439216062epoch 270
FID: 24.769383574040518epoch 280
FID: 29.246647935936863epoch 290
FID: 26.33852887369082epoch 300
FID: 26.20217682510082epoch 310
FID: 26.745476702566805epoch 320
FID: 26.907357947358463epoch 330
FID: 22.504710232979335epoch 340
FID: 25.320527821811993epoch 350
FID: 26.292139214859105epoch 360
FID: 23.198623586462958epoch 370
FID: 25.934250306866318epoch 380
FID: 26.787794860887146epoch 390
FID: 23.19700164969035epoch 400
FID: 25.127653817028033epoch 410
FID: 23.95640443979775epoch 420
FID: 24.153229268395705epoch 430
FID: 22.41757507772462epoch 440
FID: 22.379762546547624epoch 450
FID: 25.048268625075423epoch 460
FID: 23.499684260816935epoch 470
FID: 20.95652740031437epoch 480
FID: 26.09882854161799epoch 490
FID: 24.284169522341244epoch 500
FID: 23.579572230487315epoch 510
FID: 25.686978114959686epoch 520
FID: 24.930135104206528epoch 530
FID: 28.392825540562626epoch 540
FID: 22.63469009307269epoch 550
FID: 20.183473237632967epoch 560
FID: 22.397769948350287epoch 570
FID: 21.61098013221769epoch 580
FID: 24.0952738703148epoch 590
FID: 20.306525565407895epoch 600
FID: 23.433168861606163epoch 610
FID: 21.84506740143013epoch 620
FID: 19.520273073362432epoch 630
FID: 20.998892717444107epoch 640
FID: 21.29696121378268epoch 650
FID: 24.14972888446664epoch 660
FID: 23.42620870680929epoch 670
FID: 20.59507839492852epoch 680
FID: 20.763410276132134epoch 690
FID: 19.530926068341785epoch 700
FID: 21.686447426852624epoch 710
FID: 21.298309177870408epoch 720
FID: 24.429976108559686epoch 730
FID: 22.026807517158147epoch 740
FID: 21.246936450714657epoch 750
FID: 20.71931209904099epoch 760
FID: 22.951644941842403epoch 770
FID: 20.016940347746925epoch 780
FID: 21.05076773955949epoch 790
FID: 19.72701054843546epoch 800
FID: 20.52068992668768epoch 810
FID: 22.652178302189213epoch 820
FID: 20.70407394424953epoch 830
FID: 22.874608011430468epoch 840
FID: 19.537039981173336epoch 850
FID: 22.433634423374173epoch 860
FID: 19.84097456295126epoch 870
FID: 20.602931075154515epoch 880
FID: 19.19773321517036epoch 890
FID: 18.775940715252148epoch 900
FID: 21.733393619564367epoch 910
FID: 20.953438357324984epoch 920
FID: 23.036637456863787epoch 930
FID: 20.258915009616743epoch 940
FID: 21.601144339450457epoch 950
FID: 20.603266476906498epoch 960
FID: 20.725185549249034epoch 970
FID: 20.405556014316744epoch 980
FID: 21.5620193371916epoch 990
FID: 23.424915365916434epoch 1000
FID: 21.161269562252528epoch 1010
FID: 18.734855276403493epoch 1020
FID: 20.192677476924928epoch 1030
FID: 20.393247992315878epoch 1040
FID: 21.417410115599438epoch 1050
FID: 22.603467300541098epoch 1060
FID: 19.217151461408832epoch 1070
FID: 20.079990357536502epoch 1080
FID: 20.54115034981902epoch 1090
FID: 20.990716405125epoch 1100
FID: 23.98969486076922epoch 1110
FID: 22.659661672356293epoch 1120
FID: 23.68147836068175epoch 1130
FID: 20.7764357345622epoch 1140
FID: 20.02486722498847epoch 1150
FID: 20.720064840809073epoch 1160
FID: 20.45099423025499epoch 1170
FID: 24.957503638900846epoch 1180
FID: 18.527175374032623epoch 1190
FID: 25.437183266673856epoch 1200
FID: 21.161922822956427epoch 1210
FID: 24.006331395476707epoch 1220
FID: 19.434473092698624epoch 1230
FID: 21.63996195824319epoch 1240
FID: 19.36334737992965epoch 1250
FID: 18.604527735422778epoch 1260
FID: 22.315136965357254epoch 1270
FID: 17.88033628109244epoch 1280
FID: 20.535602219024668epoch 1290
FID: 19.012064677306626epoch 1300
FID: 22.396676598335517epoch 1310
FID: 18.6501264894641epoch 1320
FID: 18.53578984068338epoch 1330
FID: 19.946080108642747epoch 1340
FID: 18.905609130556314epoch 1350
FID: 18.5614908627565epoch 1360
FID: 18.851822487812996epoch 1370
FID: 20.907371135353912epoch 1380
FID: 18.774698662201956epoch 1390
FID: 19.108843357984995epoch 1400
